index,percentage_docks_available
0,0.8014590804137242
1,0.6331005815860732
2,0.59536679262282
3,0.7154440021694047
4,0.812439824268456
5,0.2644788961706145
6,0.5449772049554138
7,0.5328700134283537
8,0.8083671263998753
9,0.8049041127598205
10,0.63143563715043
11,0.595523663403002
12,0.6179264530946907
13,0.8894084950341962
14,0.5761514911783919
15,0.8395674751843473
16,0.7336189021370542
17,0.7720713998130431
18,0.5267374958219859
19,0.7668107125631827
20,0.3583727025946868
21,0.6971551696884756
22,0.8353015997510873
23,0.5392196800878275
24,0.8081017300437945
25,0.7896397639183861
26,0.5410524706783657
27,0.7099923326062523
28,0.9349013212729437
29,0.26199127675352174
30,0.8671437994635106
31,0.1480969538075052
32,0.7126367772099721
33,0.15427055421755845
34,0.893777423055729
35,0.6334329143006203
36,0.2460207267376078
37,0.475138529620153
38,0.4997820555384864
39,0.7027695099541508
40,0.27490570884405213
41,0.8854109230557629
42,0.5954099825499437
43,0.15702064864596835
44,0.668584594586125
45,0.5345892776786676
46,0.3225198628819653
47,0.8071120676522958
48,0.8321358590348497
49,0.8643709044637119
50,0.7329638201897853
51,0.2577122767741322
52,0.4543798175954154
53,0.28815614139627366
54,0.9042818187794716
55,0.24103613368558757
56,0.6800169530117773
57,0.6976782066044798
58,0.7993965832917479
59,0.6137147020548659
60,0.5019210939992325
61,0.7331820769591851
62,0.5502751838149205
63,0.161698782786305
64,0.6116817001989113
65,0.9034774519097605
66,0.9053631563635378
67,0.7297687653668634
68,0.37530958914058843
69,0.25492241166839275
70,0.6186739824877912
71,0.660722084180645
72,0.9395619641712499
73,0.15597821634115303
74,0.08023984839116564
75,0.6640131995492025
76,0.6204908186291379
77,0.7235328882337616
78,0.6639115994634299
79,0.24479642585904576
80,0.009923205984462051
81,0.5477415255496201
82,0.8042375235383152
83,0.23728646700550346
84,0.6324300350559671
85,0.8373114165914479
86,0.5722404800545666
87,0.5191057549075926
88,0.7702363032769765
89,0.9517131782368415
90,0.4896624996782124
91,0.5654253930612363
92,0.30119544184977814
93,0.8820669651769413
94,0.855907099861743
95,0.18495259619209808
96,0.5784521457202194
97,0.9485596302037094
98,0.17402016831559255
99,0.2969583263075086
100,0.7030333814414946
101,0.917716264361959
102,0.5351805122718107
103,0.5620618369979251
104,0.10608967114549771
105,0.5844545974665102
106,0.7547601559577424
107,0.5249751714193625
108,0.16830428555460247
109,0.6078843157545569
110,0.2297117639385134
111,0.1213613154264406
112,0.7091153558244936
113,0.6646649034098921
114,0.20218580648650372
115,0.8162812724579045
116,0.4532093983413781
117,0.7887708229919059
118,0.6279560633759014
119,0.41620549753046143
120,0.6945016635254962
121,0.324367946739848
122,0.7878339949400304
123,0.5175720980055234
124,0.33625545950381813
125,0.7812989569874076
126,0.8307553135065832
127,0.9759872191889157
128,0.8074086885597528
129,0.31928129280903067
